Name,Email,Category,Description,Instagram,Facebook,Twitter,Website,URL
American Football,american.football@imperial.ac.uk,Sports,"The Immortals are a fierce and competitive American football team, proudly representing Imperial College London. As the 2022 Southeast Division 1 Champions and 2024 Southern Conference Cup Semi-Finalists, we are committed to building on our last years season and going undefeated this year. We welcoming players of all experience levels - even if you have never touched an American Football, we want you to join, many of our players were in your position when they joined! We play in a mixed league a",https://www.instagram.com/ImmortalsAFC,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.tiktok.com/@ImmortalsAFC,https://www.imperialcollegeunion.org/activities/a-to-z/american-football
AnimeSoc,anime@imperial.ac.uk,Hobbies,"Come learn how to draw manga, play games or just hang out at our weekly Wednesday sessions. Membership will give you access to the ICAS library, boasting over 500 items, as well as discounted entry to our events and band concerts. We also collaborate with other London universities, such as LSE, KCL, and UCL, where we host special inter-university events. We also have Melon Band, our very own in-house band, who perform popular anisong & J-pop/Rock songs at various concerts throughout the school y",https://www.instagram.com/ic_anisoc,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.discord.gg/BgwDD69,https://www.imperialcollegeunion.org/activities/a-to-z/animesoc
Arabic,arabsoc@imperial.ac.uk,Cultural,"You can look forward to Arabic lessons, dinners, games nights, talks and extensive collaborations with other London Universities. Imperial College Arabic Society welcomes anyone with an avid interest in the Arab world to both participate and constructively contribute to the society whilst upholding the stance of the Arabic Society as an essential community within the university. CSP Chair / President CSP Vice Chair / President Communications / Publications Officer Events / Trips Officer",https://www.instagram.com/imperialarabsoc,https://www.facebook.com/ICArabSoc,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/arabic
Archery,archery.club@imperial.ac.uk,Sports,"We have a dedicated course for beginners with all equipment and coaching provided. We are always on the lookout for experienced archers to supplement our senior team. The club has an excellent competitive record at South East England Universities Archery League and national BUCS events, and provides numerous opportunities for archers to compete at their own level throughout the year. On top of that, the club hosts sessions on archery equipment and biomechanics, and is socially active with a vari",https://www.instagram.com/imperialarchery,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/archery
Argentine Tango,ArgentinetangoSoc@imperial.ac.uk,Arts & Entertainment,"Beyond lessons, we also collaborate with UCL's tango society for joint events, so there are plenty of chances to meet people outside of Imperial. While we don't compete, every year we organise a choreographed performance for an end-of-year ball. This is optional, but if you're interesting in taking part, even complete beginners can perform if they attend our sessions regularly. Come join us for the good vibes and laughsFeel free to DM us on instagram @argentine_tango_icl, or send us an email at ",https://www.instagram.com/argentine_tango_icl,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/argentine-tango
Art Club,leonardo@imperial.ac.uk,Arts & Entertainment,CSP Chair / President Communications / Publications Officer,https://www.instagram.com/imperialartclub/,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/art-club
Artificial Intelligence (AI),aisociety@imperial.ac.uk,Academic Related,CSP Chair / President CSP Chair / President,https://www.instagram.com/icunion/,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/artificial-intelligence-ai
Artsoc,artsoc@imperial.ac.uk,Hobbies,"ArtSoc aims to encourage the Arts within Imperial College by finding the best student and group discount rates to the best performances in the world-famous West End. We also organise socials and day trips to festivals :) You'll make back your £5 membership fee and more by going to just one musical through us! Here at ArtSoc, we aim to let you enjoy West End productions without your finances going south. We hope to hold our annual ArtSoc International Tour in Spring which promises to be affordabl",https://www.instagram.com/ic_artsoc,https://www.facebook.com/groups/ImperialArtSoc/,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/artsoc
Asian Medical Students Association,asianmedstudents@imperial.ac.uk,ICSM,CSP Chair / President Communications / Publications Officer,https://www.instagram.com/https://www.instagram.com/amsa.england/,https://www.facebook.com/https://www.facebook.com/UKAMSA/,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/asian-medical-students-association
Astronomy,astrosoc@imperial.ac.uk,Academic Related,CSP Chair / President Communications / Publications Officer Communications / Publications Officer Events / Trips Officer,https://www.instagram.com/icunion/,https://www.facebook.com/ICastrosoc,https://www.twitter.com/TheAstroSoc,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/astronomy
Australian,australian@imperial.ac.uk,Cultural,"We hold regular relaxed social events, including celebration of Australian Holidays and sports matches to casual BBQs. From brunch to fairy bread, vegemite to a proper coffee, we're perfect for anyone who's up for meeting new people and chilling over good food, in true Aussie fashion. So whether you're looking for a home away from home or just want to learn about a nation that has so much more to offer than holiday destinations, come join us at AusSoc. We're a friendly group of people who are we",https://www.instagram.com/icunion/,https://www.facebook.com/aussoc,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/australian
Austrian,austriansoc@imperial.ac.uk,Cultural,CSP Chair / President,https://www.instagram.com/imperialaustriansociety,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/austrian
Azerbaijan,Azerbaijansoc@imperial.ac.uk,Cultural,CSP Chair / President CSP Chair / President,https://www.instagram.com/icunion/,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/azerbaijan
Badminton,badminton@imperial.ac.uk,Sports,"If you think you're good enough for the competitive team, make sure you come to our trials - we have 2 mens’, 1 mixed and 1 womens’. In addition, we have a mixed Social team that is open to everyone, with no trials or skill level limits. Joining this team gives players the opportunity to participate in competitive matches to gain experience! We also offer coaching sessions every Friday, where a member of the competitive team can help you to sharpen your badminton skills. Interested already? Join",https://www.instagram.com/icbadminton,https://www.facebook.com/groups/212736565421688/,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/badminton
Badminton (ICSM),icsmbadminton@imperial.ac.uk,Sports,"For team members, we host training twice a week and weekly games run by our fabulous team captains! Our social players enjoy the incredible atmosphere in our regular friendly sessions, and you won't believe how much you'll improve throughout the year. We are always looking for new players, so make sure you come to our give-it-a-go sessions at the start of term and show up at our team trials! Badminton aside, the club also hosts many social events. Enjoy lively sports nights, bowling, our interna",https://www.instagram.com/icsmbadminton,https://www.facebook.com/groups/2204158174/,https://www.twitter.com/icsmbdmtn,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/badminton-icsm
Badminton (RSM),rsm.badminton@imperial.ac.uk,Sports,"We compete in the bottle match and have an excellent record, so we are always on the lookout for top talent! If you want to get involved with the RSM, badminton is a great place to start! CSP Chair / President",https://www.instagram.com/rsm_badminton,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/badminton-rsm
Baking,baking-society@imperial.ac.uk,Hobbies,"Welcome to Baking Society, where the aroma of freshly baked goods fills the air and you are our secret ingredient! Whether you're a seasoned pro or a beginner eager to explore the world of baking, there's something for every baker here! From sharing recipes or following GBBO to hands-on workshops and friendly bake-offs, we've got a tasty mix of activities! Getting involved is as easy as pie, simply join us to become a member today! Look out for our emails or follow us on Instagram for the latest",https://www.instagram.com/icbakingsoc,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/baking
Bangladeshi,bangladeshi@imperial.ac.uk,Cultural,"Starting university can be a daunting experience. We’re here to alleviate that pressure by helping you connect with new people and get involved with some great events and initiatives. We’ve got tonnes of events lined up, including lighthearted games nights and cultural events to get in touch with Bangladeshi heritage. Look out for Maa month in February where we dedicate a month’s worth of events to raising money for the Maternal Aid Association. This money will help mothers in rural and developi",https://www.instagram.com/icunion/,https://www.facebook.com/imperialbanglasoc,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/bangladeshi
Barbell,ic.barbell@imperial.ac.uk,Sports,"For anyone wishing to compete, we have an amazing community with amazing world class coaches. We have dedicated powerlifting and weightlifting teams that we have taken to compete at national and international levels and have also nurtured international champions! We accept athletes at all levels of their strength journey. If you're a newbie, you will be guided through technique by our coaches. If you're experienced, our memberships support your training and competition entry, allowing you to exc",https://www.instagram.com/icbarbell,https://www.facebook.com/icbarbell/,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/barbell
Baseball and Softball,baseball@imperial.ac.uk,Sports,"Whether you’ve played before or maybe seen it on Wii Sports or in movies like Moneyball, come give it a go! Our club is truly open to players of all abilities and we have the equipment to get you started (gloves, bats, helmets etc). Practice sessions are every Wednesday at Hyde Park ?, with sessions on Saturday for friendly games, trips to batting cages and scrimmages at our Harlington pitch or Finsbury Park. Twice a month, we go to BUCS games and tournaments ?⚾️ up and down the South-Eastern Ti",https://www.instagram.com/icbaseballsoftball,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/baseball-and-softball
Basketball,basketball@imperial.ac.uk,Sports,"The Basketball society has also been very successful over the last few years, with Women’s 1st team being first of the league many years in a row, then Men's 3 being first this 2024 in BUCS 4!! Les Parisiennes Sciences Po tournament on tour to Paris was a success!!  We are also Imperial's Sports Club of the Year in 2019 and trying as well this 2024 (we have been nominated!!) And if that’s not enough, we have lots of basketball events throughout the year! There's the end of term charity tournamen",https://www.instagram.com/icunion/,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/basketball
Beekeeping (Silwood),Silwoodbeekeeping@imperial.ac.uk,Outdoor,No description available,https://www.instagram.com/icunion/,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/beekeeping-silwood
Believer's Loveworld,BelieversLoveWorldSoc@imperial.ac.uk,Community,"Midweek Service: Wednesday @ 6.30pm at Room 640, City and Guilds Building, South Kensington Campus Sunday Service: Sunday @ 12pm at Kings Church, Harris Lecture Theatre, Hodgkin Building, Guys Campus SE1 1UL Join our whatsapp group chat here!! https://chat.whatsapp.com/LNBwi8IIalOG62VoIzgmXT Link to our Give it a Go: Campus Kickoff -https://www.imperialcollegeunion.org/whats-on/event/11820 CSP Chair / President",https://www.instagram.com/blwicl,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/believers-loveworld
Benelux Society,benelux@imperial.ac.uk,Cultural,"Whether you are from the Benelux or simply interested in our culture, we welcome any member to join us in the great adventure that comes with being a member of ICBenelux. Expect Pub Crawls, Dinners, cross university meetups, BNL food and drinks (waffles, beers, poffertjes, chocolate, ... ), and many more! CSP Chair / President Communications / Publications Officer",https://www.instagram.com/beneluxsoc.icl,https://www.facebook.com/ICBENLUX,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/benelux-society
Big Band,bigband@imperial.ac.uk,Arts & Entertainment,"IC Big Band, made up of scientists, engineers, and medics at Imperial, all with a passion for jazz, is a driving force in the university big band scene within London and the UK. The first-call band for events both in and out of the College, IC Big Band has garnered an exceptional reputation over the years, including national recognition on winning the platinum award at the National Concert Band Festival in 2017. We are a fully auditioned big band, with openings for saxophones, trumpets, trombone",https://www.instagram.com/icbigband,https://www.facebook.com/ICBigBand,https://twitter.com/icunion,https://www.tiktok.com/@icbigband,https://www.imperialcollegeunion.org/activities/a-to-z/big-band
Bio Engineering,bioengsoc@imperial.ac.uk,Departmental,"We host numerous events throughout the year, including social, wellbeing, industrial, and academic focused events. Some examples include pub crawls, Christmas meals, Therapy Dog Sessions, arts and crafts, HealthHack, and Quiz nights. These provide an atmosphere where you can meet students from other years and get involved within the department in a fun environment. Other events such as Careers Fairs and panels mean you can have an intimate opportunity to meet with potential future employers, and",https://www.instagram.com/icl_bgsoc,https://www.facebook.com/imperialcollegebioeng,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/bio-engineering
Biochemistry,biochemsoc@imperial.ac.uk,Departmental,"What can you expect? A little bit of everything. We organize a diverse range of events, from academic seminars and career talks to an array of fun social activities. Last year, we launched the Biochem/BioSoc Boat Party, and we’re excited to bring it back—bigger and better. Other beloved events like Winter Wonderland, Kew Gardens, pub crawls, and ice skating will continue, along with many new ones. This year, we're also expanding our network, with exciting collaborations in the works with Biochem",https://www.instagram.com/icbiochemsoc,https://www.facebook.com/icbiochem,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/biochemistry
Biology,biosoc@imperial.ac.uk,Departmental,"🌱 Welcome to the Biology Society! 🧬 Whether you're a passionate biologist, or just looking for a place to unwind and meet new people, we have something for everyone. If you love sports, join us for dodgeball or come along for some indoor bouldering with friends🧗‍♀️. Prefer to relax after complex BCM mechanisms? Join us for our trip to the theatre, games nights, or our exciting visit to the iconic Kew Gardens 🌺 with exclusive tours led by staff! And don’t miss our legendary collabs – from the",https://www.instagram.com/https://www.instagram.com/icbiosoc/?hl=en,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/biology
BiomED,biomedsoc@imperial.ac.uk,Academic Related,Please note that getting membership does not automatically sign you up to our mailing list. Feel free to give us a follow on Instagram or sign up to any of our events to join the mailing list: linktr.ee/biomed1 CSP Chair / President,https://www.instagram.com/bmbeducation,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/biomed
BioMedical,bmssoc@imperial.ac.uk,ICSM,CSP Chair / President CSP Vice Chair / President Communications / Publications Officer Events / Trips Officer Events / Trips Officer,https://www.instagram.com/icsmsu.bmb,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/biomedical
Bioscience Review,bioscireview@imperial.ac.uk,Academic Related,"Want to meet established science journalists, and to see your own articles published online and on print? As a student-led initiative, we provide a platform for students of all stages and backgrounds to freely explore the most emergent themes of the life sciences. Our articles and magazine issues are also free to access – an aspect that we hope diminishes the barrier to science. Established in August 2020, we have since grown our base to over 120 yearly writers and published over 500 articles. I",https://www.instagram.com/ic_bioscience_review,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/bioscience-review
Blockchain,Imperialblockchainsociety@imperial.ac.uk,Academic Related,"Welcome to the Imperial Blockchain & FinTech Society (IBF)—Imperial College London’s leading community for blockchain innovation, fintech education, and professional development. Whether you’re passionate about technology, investment, or research, IBF offers an unparalleled platform to learn, grow, and connect with peers and industry leaders. Sign up and follow our socials to stay updated. Visit our website to apply for ImperialDAO and other positions. CSP Chair / President",https://www.instagram.com/imperialblockchain,https://www.facebook.com/imperialcollegeunion,https://www.twitter.com/iclblockchain,https://chat.whatsapp.com/DzjUl923jBVJW586ULhzBs,https://www.imperialcollegeunion.org/activities/a-to-z/blockchain
Boat,boat@imperial.ac.uk,Sports,"We offer world class coaching and facilities for our joint men’s and women’s team who train together on the river in Putney, just a 20 minute cycle from college or easily accessible on public transport. Our novice and senior squads have regular success at major rowing events including BUCS, the Heads of the River, Henley Women’s and Henley Royal Regatta. We are lucky to have a state-of-the-art gym and clubroom on site alongside a well-maintained fleet of boats. With stunning views onto the Thame",https://www.instagram.com/imperialboat,https://www.facebook.com/imperialboatclub/,https://www.twitter.com/imperialboat,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/boat
Boat (ICSM),icsmbc@imperial.ac.uk,Sports,"Looking to try something new at Imperial within an incredibly relaxed, social and supportive atmosphere? Look no further than ICSM Boat Club! As the largest mixed sports team at ICSM with over 100 male and female members, our main aim is to live up to the ethos of work hard and play hard! Doesn't matter if you've never even been near a boat before - you will be mentored by a dedicated captain to make your fresher year fantastic on and off the water. Rowed before? Then you will move into one of o",https://www.instagram.com/icsmbc,https://www.facebook.com/ICSMBC/,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/boat-icsm
Book,bookclub@imperial.ac.uk,Hobbies,"Your source of everything book-related at Imperial. Throughout the year we have all sorts of events, from bookshop crawls to theatre trips to wine & cheese book swaps. We get together monthly to discuss a book chosen by the members (and heavily subsidised!), over biscuits and occasionally over pints at the union later. It doesn’t matter what you like to read, or how much reading you do (always hard to fit the time in); the club is a wonderful environment to meet lovely people and perhaps to ensu",https://www.instagram.com/icbookclub,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://chat.whatsapp.com/LXD5aGa4HNq6FMsGUmWLwS,https://www.imperialcollegeunion.org/activities/a-to-z/book
Botanical,union@imperial.ac.uk,Hobbies,CSP Chair / President CSP Vice Chair / President CSP Vice Chair / President,https://www.instagram.com/Icbotany,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/botanical
Boxing,boxing@imperial.ac.uk,Sports,"Welcome to IC Boxing Club! We’re an all-inclusive club and cater for all abilities from complete beginner to experienced boxers. If your aim is to get fit or represent the university and box competitively, we are the club for you. We hold training 6 days a week: we run sessions in the Union building as well as in external gyms in South Kensington, Battersea and Lambeth where you can hone your technique and become better boxers. Whether you come to get fit or fight, our sessions will get you stro",https://www.instagram.com/icunion/,https://www.facebook.com/groups/icboxing/,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/boxing
Brewing (Silwood),silbrewing@imperial.ac.uk,Community,No description available,https://www.instagram.com/icunion/,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/brewing-silwood
Bridge,bridgeclub@imperial.ac.uk,Hobbies,"Our society is open to players of all levels, from beginners to seasoned competitors. We are lucky to have members from the national team who provide expert training and guidance. In the past, we have been ranked second among UK universities in the Portland Bowl . Whether you're looking to compete or simply enjoy the game socially, our society is the perfect place to get involved and have fun. We meet every Tuesday 6-8 p.m. for weekly events, including practice sessions, friendly games and compe",https://www.instagram.com/icunion/,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/bridge
Buddhist,buddhist@imperial.ac.uk,Community,"Join us to Meditate and explore Buddhism! Buddhism is a path for anyone seeking a more content life free from stress and anxiety. Imperial College Buddhist Society (ICBS) serves as a foundation for anyone interested in Buddhism. Meditation is not just a religious practice and you do not need to consider yourself a Buddhist to attend our events. The activities we hold this year include Meditation, Dharma talks and socials on weekly and monthly basis at the IC Chaplaincy at 15 Prince's Gardens. If",https://www.instagram.com/icbuddhistsociety,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/buddhist
Bulgarian,bulgarian@imperial.ac.uk,Cultural,CSP Chair / President CSP Vice Chair / President,https://www.instagram.com/imperial.bulgarian.soc,https://www.facebook.com/groups/201925573201822/,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/bulgarian
Calisthenics,union@imperial.ac.uk,Sports,CSP Chair / President Communications / Publications Officer,https://www.instagram.com/icunion/,https://www.facebook.com/imperialcollegeunion,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/calisthenics
Canadian Society,union@imperial.ac.uk,Cultural,"Missing a cup of good old timmies double-double with timbits? Did someone say poutine? Wanna find out where to get good maple syrup? Eager to bash the U.S on their current political circus? Then join us at the Canadian Society! We aim to provide a chill place to just hang out with fellow Canadians, Half-Canadians, or anyone who is generally interested in Canadian culture! Throughout the year we will organise a plethora of fun events to celebrate things that we all miss from home, including thank",https://www.instagram.com/imperialcansoc,https://www.facebook.com/iccansoc/,https://twitter.com/icunion,https://www.youtube.com/channel/UCDbftdMxA8C-UqhaB8FsW5w,https://www.imperialcollegeunion.org/activities/a-to-z/canadian-society
