Priority,Relevance Score,Name,Email,Category,Target Audience,Suggested Approach,Reasoning,URL
HIGH,8,Chamber Choir,chamber.choir@imperial.ac.uk,Arts & Entertainment,Arts enthusiasts; Music lovers; Social students,Suggest cross-university collaborations to expand their performance reach.,Chamber Choir could collaborate with other university music groups and perform for a broader audience.,https://www.imperialcollegeunion.org/activities/a-to-z/chamber-choir
HIGH,8,Chamber Music,chamber.music@imperial.ac.uk,Arts & Entertainment,Arts enthusiasts; Music lovers; Social students,Suggest promoting their concerts and workshops to music enthusiasts from across London.,Chamber Music concerts and workshops could be advertised to music lovers from other universities.,https://www.imperialcollegeunion.org/activities/a-to-z/chamber-music
HIGH,8,Chinese Students & Scholars Association,cssa@imperial.ac.uk,Cultural,Social students; Cultural enthusiasts; International students; Sports students,Suggest cross-university collaborations to expand their event reach and attract more attendees.,CSSA organizes social and sports events that will be attractive to Chinese students from various universities,https://www.imperialcollegeunion.org/activities/a-to-z/chinese-students-scholars-association
HIGH,8,Choir,icchoir@imperial.ac.uk,Arts & Entertainment,Arts enthusiasts; Music lovers; Social students,Suggest promoting their concerts to music enthusiasts from across London universities.,Choir concerts are open to everyone and could be heavily promoted and attract a large audience.,https://www.imperialcollegeunion.org/activities/a-to-z/choir
HIGH,8,Consultancy,consultancysoc@imperial.ac.uk,Academic Related,Business Students; Networking Students; Professional Dev,Suggest to promote networking events and workshops related to consulting careers.,Consultancy is a broad field and the society holds networking events that will appeal across unis.,https://www.imperialcollegeunion.org/activities/a-to-z/consultancy
HIGH,8,Dance Club,dance@imperial.ac.uk,Arts & Entertainment,Social students; Arts enthusiasts; Fitness community,Showcasing all the different skill levels is great!,Dance club is good since anyone can join.,https://www.imperialcollegeunion.org/activities/a-to-z/dance-club
HIGH,8,Data Science,icdss@imperial.ac.uk,Academic Related,Data scientists; Tech Enthusiasts,Emphasize industry-academia bridge.,Data Science society allows all depts to participate.,https://www.imperialcollegeunion.org/activities/a-to-z/data-science
HIGH,8,Developer Student Club,union@imperial.ac.uk,Academic Related,Tech students; All students,Workshops and mentorship program are great.,"Great for networking, skill dev",https://www.imperialcollegeunion.org/activities/a-to-z/developer-student-club
HIGH,8,DoCSoc,docsoc@imperial.ac.uk,Departmental,Tech students,Partner up with Meta and Google to promote.,Tech events are cool.,https://www.imperialcollegeunion.org/activities/a-to-z/docsoc
HIGH,8,Environmental,esoc@imperial.ac.uk,Academic Related,Environmental students; Social students; Hobbyists,Suggest a cross-university gardening or sustainability workshop to promote green living.,Environmental society has activities such as gardening that will appeal to students beyond Imperial.,https://www.imperialcollegeunion.org/activities/a-to-z/environmental
HIGH,8,Fashion & Design,fashionsoc@imperial.ac.uk,Arts & Entertainment,Arts students; Social students; Design enthusiasts,Offer to promote their fashion show and model auditions to students at other arts-focused universities.,"Fashion & Design society organizes a Charity Fashion Show and other events, which can attract a wide audience.",https://www.imperialcollegeunion.org/activities/a-to-z/fashion-design
HIGH,8,Finance,finsoc@imperial.ac.uk,Academic Related,Business students; Career-focused students,Suggest promoting their finance career workshops to a wider audience across London universities.,Finance society is a popular society which offers career opportunities for students across London.,https://www.imperialcollegeunion.org/activities/a-to-z/finance
HIGH,8,Gaming and Esports,iclesports@imperial.ac.uk,Hobbies,Tech enthusiasts; Social students; Hobbyists,Suggest promoting their events to other London university students interested in Gaming and Esports.,"Gaming and Esports have a large student base, thus giving them a wider appeal across universities.",https://www.imperialcollegeunion.org/activities/a-to-z/gaming-and-esports
HIGH,8,Gospel Choir,gospel.choir@imperial.ac.uk,Arts & Entertainment,Arts students; Social students,Offer to promote their performances to a wider audience across London universities.,Gospel Choir can host shows and events to a large audience due to their singing talent.,https://www.imperialcollegeunion.org/activities/a-to-z/gospel-choir
HIGH,8,Imperial Ceilidh Society,union@imperial.ac.uk,Arts & Entertainment,Social students; Music lovers; Cultural enthusiasts,"Promote their ceilidh events as fun social gatherings open to all London university students, emphasizing the beginner-friendly nature.","Ceilidh Society's social gatherings with music and dancing have broad appeal, particularly with the caller guiding participants.",https://www.imperialcollegeunion.org/activities/a-to-z/imperial-ceilidh-society
HIGH,8,Investment,icu.investmentsociety@imperial.ac.uk,Academic Related,Business students; Finance enthusiasts; Career-focused students,Promote their workshops and networking events to students interested in finance from all London universities.,Investment Society provides valuable skills and networking opportunities that appeal to students across disciplines.,https://www.imperialcollegeunion.org/activities/a-to-z/investment
HIGH,8,IQ (Imperial College LGBT+),iq@imperial.ac.uk,Community,LGBTQ+ students; Social students; Community members,Suggest cross-university collaborations with other LGBTQ+ societies to increase attendance at their social events.,"IQ (Imperial College LGBT+) offers a welcoming space and social events that would greatly benefit from a larger, more diverse audience.",https://www.imperialcollegeunion.org/activities/a-to-z/iq-imperial-college-lgbt
HIGH,8,Irish,IrishSociety@imperial.ac.uk,Cultural,Social students; Cultural enthusiasts; Irish students,Highlight their parties and St. Patrick's Day celebrations as events open to all London university students for a fun social experience.,"Irish Society's parties, ceilidhs, and St. Patrick's Day celebrations have broad appeal beyond just the Irish community.",https://www.imperialcollegeunion.org/activities/a-to-z/irish
HIGH,8,Lithuanian Society,LithuanianSoc@imperial.ac.uk,Cultural,Social students; Cultural enthusiasts; International students,"Highlight how LSN can help them promote their cultural events to a wider, more diverse audience.",Cultural societies often host events with broad appeal and can benefit from reaching students across London universities.,https://www.imperialcollegeunion.org/activities/a-to-z/lithuanian-society
HIGH,8,Malayali Society,MalayaliSoc@imperial.ac.uk,Cultural,Social students; Cultural enthusiasts; International students,"Propose LSN to amplify their reach across London universities, especially for events showcasing Keralan culture.",Malayali Society's events appear to have cross-cultural appeal and could attract students interested in Indian culture.,https://www.imperialcollegeunion.org/activities/a-to-z/malayali-society
HIGH,8,Malaysian,malaysian@imperial.ac.uk,Cultural,Social students; Cultural enthusiasts; International students,Help them reach international students across London with their cultural events.,"Malaysian society aims to promote the Malaysian culture, which would be interesting to other students.",https://www.imperialcollegeunion.org/activities/a-to-z/malaysian
HIGH,8,Maldives Society,union@imperial.ac.uk,Cultural,Social students; Cultural enthusiasts; International students,Offer LSN's platform to expand awareness of Maldivian culture among students from different universities.,Maldives Society's cultural events and socials could attract a broader audience interested in learning about Maldivian culture.,https://www.imperialcollegeunion.org/activities/a-to-z/maldives-society
HIGH,8,Mauritian,MauritianSoc@imperial.ac.uk,Cultural,Social students; Cultural enthusiasts; International students,Offer LSN to help expand awareness of Mauritian culture among students from different universities.,Mauritian society welcomes everyone and aims to promote Mauritian culture.,https://www.imperialcollegeunion.org/activities/a-to-z/mauritian
HIGH,8,Musical Theatre,musicaltheatre@imperial.ac.uk,Arts & Entertainment,Social students; Music lovers; Arts enthusiasts,Emphasize LSN's ability to increase attendance at their shows through cross-university promotion.,Musical Theatre performances are generally popular across universities and can attract a diverse audience.,https://www.imperialcollegeunion.org/activities/a-to-z/musical-theatre
HIGH,8,Nepali Society,Nepali@imperial.ac.uk,Cultural,Social students; Cultural enthusiasts; International students,Offer LSN to help expand awareness of Nepali culture among students from different universities.,Nepali society will be welcome to any student that is interested in learning about a new culture.,https://www.imperialcollegeunion.org/activities/a-to-z/nepali-society
HIGH,8,Nordic,scansoc@imperial.ac.uk,Cultural,Social students; Cultural enthusiasts; International students,"Propose LSN to amplify their reach across London universities, especially for events showcasing Nordic culture.",Nordic Society's events have cross-cultural appeal and could attract students interested in Nordic culture.,https://www.imperialcollegeunion.org/activities/a-to-z/nordic
HIGH,8,Northern Society,northernsociety@imperial.ac.uk,Cultural,Social students; Cultural enthusiasts,Pitch helping the Northern Society to reach a broader set of students.,"Northern Society has the potential to attract a broad base of students, mostly social.",https://www.imperialcollegeunion.org/activities/a-to-z/northern-society
HIGH,8,Pakistan,pakistan@imperial.ac.uk,Cultural,Social students; Cultural enthusiasts; International students,Pitch helping the Pakistan Society to reach a broader set of students in London.,Pakistan society has cross-cultural events and cuisine.,https://www.imperialcollegeunion.org/activities/a-to-z/pakistan
HIGH,8,Photosoc,photographic.society@imperial.ac.uk,Arts & Entertainment,Arts enthusiasts; Photography lovers; Social students,Highlight the opportunity to promote their photo walks to a wider audience and attract new members from other universities.,"Photosoc organizes weekly photo walks in London and runs tutorials, making it appealing beyond Imperial.",https://www.imperialcollegeunion.org/activities/a-to-z/photosoc
HIGH,8,Pop of East Asia Society,pea@imperial.ac.uk,Arts & Entertainment,Arts enthusiasts; Music lovers; Social students,Offer to promote their jam sessions and performances to East Asian pop music enthusiasts in other London universities.,Pop of East Asia Society's jam sessions can involve musicians from other universities.,https://www.imperialcollegeunion.org/activities/a-to-z/pop-of-east-asia-society
HIGH,8,Radio,icradio@imperial.ac.uk,Arts & Entertainment,Arts enthusiasts; Media students; Social students,Offer to promote their radio shows and opportunities to get involved in production to students from other London universities.,Radio society broadcasts shows that can reach an audience beyond Imperial and encourages anyone to join.,https://www.imperialcollegeunion.org/activities/a-to-z/radio
HIGH,8,Somali Society,somalisoc@imperial.ac.uk,Cultural,Cultural students; Social students; International students,Emphasize the cultural events and the welcoming community to attract students interested in Somali culture.,"Somali Society promotes cultural events and aims to create a community, which can attract students interested in cultural exchange.",https://www.imperialcollegeunion.org/activities/a-to-z/somali-society
HIGH,8,South Asian Society,sthasian@imperial.ac.uk,Cultural,Cultural students; Social students; International students,Highlight the diverse events and the 'home from home' atmosphere to attract students across universities.,"South Asian Society hosts various social and cultural events, making it appealing to a broad audience interested in South Asian culture.",https://www.imperialcollegeunion.org/activities/a-to-z/south-asian-society
HIGH,8,Spanish,spanish@imperial.ac.uk,Cultural,Cultural students; Social students; Language learners,Promote their cultural events and social gatherings to attract students interested in Spanish culture and language.,"Spanish Society's activities, like Tapas nights and Reggaeton outings, offer broad appeal and cultural immersion.",https://www.imperialcollegeunion.org/activities/a-to-z/spanish
HIGH,8,SwiftSoc,Swiftsoc@imperial.ac.uk,Hobbies,Social students; Pop culture enthusiasts; Music lovers,Emphasize the fun and inclusive nature of their events to attract students from different universities.,"SwiftSoc events like listening parties are open to all Swifties, which could draw attendees from various universities.",https://www.imperialcollegeunion.org/activities/a-to-z/swiftsoc
HIGH,8,Venture Capital & Private Equity,VentureCapitalPrivateEquity@imperial.ac.uk,Academic Related,Business students; Career-focused students; Networking enthusiasts,Advertise career opportunities within different universities.,Venture Capital & Private Equity opens a pathway for students to explore job opportunities.,https://www.imperialcollegeunion.org/activities/a-to-z/venture-capital-private-equity
HIGH,8,Welsh Society,welshsociety@imperial.ac.uk,Cultural,Social students; Cultural enthusiasts; International students,Suggest LSN's ability to increase attendance for their Welsh-themed events amongst non-Welsh students.,"Cultural societies often host events (language lessons, cultural celebrations) that appeal to a broad range of students interested in exploring different cultures.",https://www.imperialcollegeunion.org/activities/a-to-z/welsh-society
HIGH,8,Wind Band,windband@imperial.ac.uk,Arts & Entertainment,Music lovers; Arts students; Social students,Offer LSN to boost attendance at their concerts and promote their upcoming tours to a wider audience.,Wind Band concerts and tours have the potential to attract music lovers from across London. Their high musical standards and past performances suggest good organization.,https://www.imperialcollegeunion.org/activities/a-to-z/wind-band
MEDIUM,7,African Caribbean,afro.caribbean@imperial.ac.uk,Cultural,Cultural students; Social students,Ask about planned cultural events or celebrations that would be of interest to a broader audience.,"African Caribbean society promotes culture, but description lacks specific event details.",https://www.imperialcollegeunion.org/activities/a-to-z/african-caribbean
MEDIUM,7,Algorithmic Trading,algo.trade@imperial.ac.uk,Academic Related,Business students; Tech enthusiasts,Promote their inter-university hackathon and introductory trading workshops across universities.,Algorithmic Trading may have events with broader interest in finance and technology.,https://www.imperialcollegeunion.org/activities/a-to-z/algorithmic-trading
MEDIUM,7,Alternative Music,alt.music@imperial.ac.uk,Arts & Entertainment,Music lovers; Social students,Offer LSN to increase attendance at their events focused on discovering new music.,"Alternative Music society focuses on diverse musical experiences, potentially appealing to a wider audience.",https://www.imperialcollegeunion.org/activities/a-to-z/alternative-music
MEDIUM,7,AnimeSoc,anime@imperial.ac.uk,Hobbies,Anime enthusiasts; Social students; Hobbyists,"Promote their weekly sessions, library, band concerts, and inter-university events.",AnimeSoc's events and collaborations with other universities indicate good potential.,https://www.imperialcollegeunion.org/activities/a-to-z/animesoc
MEDIUM,7,Argentine Tango,ArgentinetangoSoc@imperial.ac.uk,Arts & Entertainment,Arts enthusiasts; Dance enthusiasts; Social students,"Promote their dance classes, performances, and joint events with UCL.","Argentine Tango organizes performances and collaborates with UCL, expanding its reach.",https://www.imperialcollegeunion.org/activities/a-to-z/argentine-tango
MEDIUM,7,Artsoc,artsoc@imperial.ac.uk,Hobbies,Arts enthusiasts; Social students,Offer LSN to promote their affordable theatre trips and social events.,Artsoc offers discounts to West End shows and organizes socials/day trips.,https://www.imperialcollegeunion.org/activities/a-to-z/artsoc
MEDIUM,7,Big Band,bigband@imperial.ac.uk,Arts & Entertainment,Arts enthusiasts; Music lovers; Social students,Highlight how LSN can help increase attendance at their concerts and performances across London.,Big Band is a musical group which often performs publically.,https://www.imperialcollegeunion.org/activities/a-to-z/big-band
MEDIUM,7,Blockchain,Imperialblockchainsociety@imperial.ac.uk,Academic Related,Tech enthusiasts; Business students; Finance students,"Promote their workshops, guest lectures, and networking events to attract students interested in blockchain and FinTech.","Blockchain society focuses on a popular and emerging topic, with education events.",https://www.imperialcollegeunion.org/activities/a-to-z/blockchain
MEDIUM,7,Catholic,cathsoc@imperial.ac.uk,Community,Social students; Community members; Religious students,Inquire about interfaith events or community outreach programs they organize.,"Catholic society is religious, but might have events open to all faiths that could be of interest to many students.",https://www.imperialcollegeunion.org/activities/a-to-z/catholic
MEDIUM,7,Cheerleading,cheerleading@imperial.ac.uk,Sports,Sports enthusiasts; Social students; Networking students,Suggest promoting their social events and networking opportunities to a wider audience.,Cheerleading socials and potential networking events could have cross-university appeal.,https://www.imperialcollegeunion.org/activities/a-to-z/cheerleading
MEDIUM,7,Computational Biology,compbio@imperial.ac.uk,Academic Related,Science Students; Tech Enthusiasts; Bio Students,Promote cross-disciplinary events such as industry seminars.,Computational Biology is multidisciplinary and attracts students interested in bio and CS.,https://www.imperialcollegeunion.org/activities/a-to-z/computational-biology
MEDIUM,7,Cybersecurity,cybersoc@imperial.ac.uk,Academic Related,Tech enthusiasts; Networking students,Highlight the application of CS in a cyber world and promote network opportunities.,Cybersecurity attracts students interested in technology and networking.,https://www.imperialcollegeunion.org/activities/a-to-z/cybersecurity
MEDIUM,7,Cypriot,cypriotsoc@imperial.ac.uk,Cultural,Social students; Cultural Enthusiasts,Highlight cultural events open to people from other unis.,Cypriot Soc hosts social and cultural events.,https://www.imperialcollegeunion.org/activities/a-to-z/cypriot
MEDIUM,7,Dance - Funkology,funkology@imperial.ac.uk,Arts & Entertainment,Social Students; Fitness Community,Promote different styles of dance classes.,Dance classes have a large appeal across unis.,https://www.imperialcollegeunion.org/activities/a-to-z/dance-funkology
MEDIUM,7,Dance Company,dancecompany@imperial.ac.uk,Arts & Entertainment,Arts enthusiasts; Performance arts,Advertise the competitions.,Dance has cross uni appeal.,https://www.imperialcollegeunion.org/activities/a-to-z/dance-company
MEDIUM,7,Dodgeball,dodgeball@imperial.ac.uk,Sports,Sports students,Emphasize it's fun for everyone!,Dodgeball can def attract a large crowd!,https://www.imperialcollegeunion.org/activities/a-to-z/dodgeball
MEDIUM,7,Effective Altruism,effectivealtruism@imperial.ac.uk,Academic Related,Social students; Academic students; Career-focused students,Propose a joint event promoting careers with a positive social impact to students across London universities.,"Effective Altruism can attract students interested in social impact and career opportunities in related fields, benefiting from a wider reach.",https://www.imperialcollegeunion.org/activities/a-to-z/effective-altruism
MEDIUM,7,Electrical Engineering,eesoc@imperial.ac.uk,Departmental,Engineering students; Career-focused students; Tech enthusiasts,Offer to promote their career fair or industry talks to relevant departments in other universities.,"Electrical Engineering hosts industry talks and a career fair, which could attract students from other universities.",https://www.imperialcollegeunion.org/activities/a-to-z/electrical-engineering
MEDIUM,7,Energy,energysociety@imperial.ac.uk,Academic Related,Engineering students; Business students; Environmental students,Suggest promoting their talks or projects to students in similar fields at other universities.,Energy society provides career insight in the energy sector and could benefit from a broader network of students.,https://www.imperialcollegeunion.org/activities/a-to-z/energy
MEDIUM,7,Engineers Without Borders UK,EngineersWithoutBordersUK@imperial.ac.uk,Academic Related,Engineering students; Social students; Environmental students,Offer to advertise their events focused on global responsibility and ethical engineering to a wider audience.,Engineers Without Borders UK promotes ethical engineering and could draw interest from students with a global perspective.,https://www.imperialcollegeunion.org/activities/a-to-z/engineers-without-borders-uk
MEDIUM,7,European Society,european.society@imperial.ac.uk,Cultural,Political science students; Social students; Cultural students,Offer to promote their policy discussions to a wider audience interested in European affairs.,European Society engages in policy discussions and could attract students interested in politics and current affairs.,https://www.imperialcollegeunion.org/activities/a-to-z/european-society
MEDIUM,7,Felix,felix@imperial.ac.uk,Arts & Entertainment,Journalism students; Social students; Academic students,Suggest cross-university collaborations on journalistic projects or events.,Felix is the Imperial student newspaper and publishes content which could attract students from other universities.,https://www.imperialcollegeunion.org/activities/a-to-z/felix
MEDIUM,7,FemTech,FemTech@imperial.ac.uk,ICSM,Medical students; Tech enthusiasts; Business students,Offer to co-host events with FemTech societies at other London universities to expand their reach.,"FemTech society focuses on women's health, which is a growing industry, and could attract other medical and tech students.",https://www.imperialcollegeunion.org/activities/a-to-z/femtech
MEDIUM,7,Filmsoc,film@imperial.ac.uk,Hobbies,Arts students; Social students; Hobbyists,Suggest promoting their screenings to other London university students interested in films.,Filmsoc can offer screenings to many people that are not just Imperial students.,https://www.imperialcollegeunion.org/activities/a-to-z/filmsoc
MEDIUM,7,First Aid,1aidsoc@imperial.ac.uk,Academic Related,Social students; Career-focused students,Suggest collaborating with other university societies for a joint first aid training event.,First Aid training is beneficial for all students and could be offered across all universities.,https://www.imperialcollegeunion.org/activities/a-to-z/first-aid
MEDIUM,7,Friends of Médecins Sans Frontières,friends.msf@imperial.ac.uk,ICSM,Medical students; Social students,Offer to promote their speaker events to students at other medical schools.,Friends of MSF hosts speaker events that students from other universities may be interested in.,https://www.imperialcollegeunion.org/activities/a-to-z/friends-of-medecins-sans-frontieres
MEDIUM,7,Friends of Palestine,palestinian@imperial.ac.uk,Cultural,Cultural students; Social students; Political students,Offer to promote their cultural events and educational talks to students at other universities.,"Friends of Palestine focuses on culture, that could attract students who have no prior knowledge of Palestine.",https://www.imperialcollegeunion.org/activities/a-to-z/friends-of-palestine
MEDIUM,7,Imperial Marrow,Imperialmarrow@imperial.ac.uk,Community,Community members; Health-conscious students,Suggest joint recruitment drives or fundraising events with other university societies to maximize their impact and reach.,Imperial Marrow's goals of recruiting stem cell donors and fundraising have broad appeal and potential for cross-university collaboration.,https://www.imperialcollegeunion.org/activities/a-to-z/imperial-marrow
MEDIUM,7,International Foodies Society,IntFoodSoc@imperial.ac.uk,Community,Foodies; Social students; International students,Confirm if their food-related events are open to students from other universities and highlight their international aspect.,"International Foodies Society, if hosting events beyond the Imperial community, could have broad appeal.",https://www.imperialcollegeunion.org/activities/a-to-z/international-foodies-society
MEDIUM,7,Israeli,israeli.society@imperial.ac.uk,Cultural,Cultural enthusiasts; Tech enthusiasts; Israeli students,Promote their tech trips and STEM lectures to students at other universities interested in technology and innovation.,"Israeli Society's cultural events, tech scene explorations, and trips have potential for cross-university interest.",https://www.imperialcollegeunion.org/activities/a-to-z/israeli
MEDIUM,7,"Jazz, Soul and Funk",jazzsoulfunk@imperial.ac.uk,Arts & Entertainment,Arts students; Music lovers; Social students,Promote their events and get a bigger audience for the perfomances,"Jazz, Soul and Funk Society could reach a wider audience if hosting public performances or jam sessions",https://www.imperialcollegeunion.org/activities/a-to-z/jazz-soul-and-funk
MEDIUM,7,K Pop Society,kpop@imperial.ac.uk,Arts & Entertainment,Arts students; Social students; Music lovers,Promote their events and increase students from other universities,"K Pop Society is open to a bigger audience, especially if they offer lessons.",https://www.imperialcollegeunion.org/activities/a-to-z/k-pop-society
MEDIUM,7,Light Opera (ICSM),light.opera@imperial.ac.uk,ICSM,Arts students; Social students; Music Lovers,Promote the show.,Light Opera shows are open to all universities.,https://www.imperialcollegeunion.org/activities/a-to-z/light-opera-icsm
MEDIUM,7,Mathematics,mathssoc@imperial.ac.uk,Departmental,STEM students; Business students; Academic students,Discuss promoting their workshops and talks to students interested in finance and data science.,MathSoc organises events like quant finance workshops and may have broad appeal.,https://www.imperialcollegeunion.org/activities/a-to-z/mathematics
MEDIUM,7,MedTech,medtech@imperial.ac.uk,Academic Related,Medical students; Tech enthusiasts; Engineering students,Suggest promoting their workshops and speaker series to students across London interested in MedTech.,MedTech society could attract students interested in medical technology and innovation.,https://www.imperialcollegeunion.org/activities/a-to-z/medtech
MEDIUM,7,Music (ICSM),medics.music@imperial.ac.uk,ICSM,Medical students; Music lovers; Arts enthusiasts,Emphasize LSN's ability to increase attendance at their performances through cross-university promotion.,Music (ICSM) puts on great performances which can be promoted to all students across London.,https://www.imperialcollegeunion.org/activities/a-to-z/music-icsm
MEDIUM,7,Orchestra - Sinfonietta,sinfonietta@imperial.ac.uk,Arts & Entertainment,Social students; Music lovers; Arts enthusiasts,Promote concerts to a bigger student base.,Orchestra can reach a lot of music enthusiasts.,https://www.imperialcollegeunion.org/activities/a-to-z/orchestra-sinfonietta
MEDIUM,7,Orchestra - Symphony,icso@imperial.ac.uk,Arts & Entertainment,Social students; Music lovers; Arts enthusiasts,Promote concerts to a bigger student base.,Symphony orchestra is a great form of art.,https://www.imperialcollegeunion.org/activities/a-to-z/orchestra-symphony
MEDIUM,7,Pint of Science,union@imperial.ac.uk,Academic Related,Academic students; Science enthusiasts; Social students,Offer to cross-promote their pub talks to science enthusiasts and students at other London universities.,Pint of Science has cross-university appeal due to its public talks in pubs and varied topics.,https://www.imperialcollegeunion.org/activities/a-to-z/pint-of-science
